word	c5	lemma	pos
of	PRF	of	PREP
these	DT0	these	ADJ
.	PUN	.	PUN

# sentence 12, Texts/A/A0/A00.xml
Often	AV0	often	ADV
infected	AJ0-VVN	infected	ADJ
people	NN0	people	SUBST
are	VBB	be	VERB
rejected	VVN	reject	VERB
by	PRP	by	PREP
family	NN1	family	SUBST
and	CJC	and	CONJ
friends	NN2	friend	SUBST
,	PUN	,	PUN
leaving	VVG	leave	VERB
them	PNP	they	PRON
to	TO0	to	PREP
face	VVI	face	VERB
this	DT0	this	ADJ
chronic	AJ0	chronic	ADJ
condition	NN1	condition	SUBST
alone	AV0-AJ0	alone	ADV
.	PUN	.	PUN

# sentence 13, Texts/A/A0/A00.xml
Did	VDD	do	VERB
you	PNP	you	PRON
know	VVI	know	VERB
?	PUN	?	PUN

# sentence 14, Texts/A/A0/A00.xml
there	EX0	there	PRON
is	VBZ	be	VERB
no	AT0	no	ART
vaccine	NN1	vaccine	SUBST
or	CJC	or	CONJ
cure	VVB-NN1	cure	VERB
currently	AV0	currently	ADV
available	AJ0	available	ADJ
.	PUN	.	PUN

# sentence 15, Texts/A/A0/A00.xml
10	CRD	10	ADJ
million	CRD	million	ADJ
people	NN0	people	SUBST
worldwide	AV0	worldwide	ADV
are	VBB	be	VERB
infected	VVN	infect	VERB
with	PRP	with	PREP
HIV	NP0	hiv	SUBST
.	PUN	.	PUN

# sentence 16, Texts/A/A0/A00.xml
you	PNP	you	PRON
can	VM0	can	VERB
be	VBI	be	VERB
infected	VVN	infect	VERB
for	PRP	for	PREP
between	PRP	between	PREP
10–15	CRD	10–15	UNC
years	NN2	year	SUBST
without	PRP	without	PREP
realising	VVG	realise	VERB
it	PNP	it	PRON
.	PUN	.	PUN

# sentence 17, Texts/A/A0/A00.xml
7	CRD	7	ADJ
out	AVP	out	ADV
of	PRF	of	PREP
10	CRD	10	ADJ
people	NN0	people	SUBST
infected	VVN-AJ0	infect	VERB
are	VBB	be	VERB
heterosexual	AJ0	heterosexual	ADJ
.	PUN	.	PUN

# sentence 18, Texts/A/A0/A00.xml
women	NN2	woman	SUBST
are	VBB	be	VERB
twice	AV0	twice	ADV
as	CJS	as	CONJ
at	PRP	at	PREP
risk	NN1	risk	SUBST
from	PRP	from	PREP
infection	NN1	infection	SUBST
as	CJS	as	CONJ
men	NN2	man	SUBST
.	PUN	.	PUN

# sentence 19, Texts/A/A0/A00.xml
In	PRP	in	PREP
the	AT0	the	ART
UK	NP0	uk	SUBST

# sentence 20, Texts/A/A0/A00.xml
16,000	CRD	16,000	ADJ
reported	AJ0-VVD	reported	ADJ
infections	NN2	infection	SUBST
(	PUL	(	PUL
it	PNP	it	PRON
is	VBZ	be	VERB
probable	AJ0	probable	ADJ
that	CJT	that	CONJ
there	EX0	there	PRON
are	VBB	be	VERB
between	PRP	between	PREP
40–60,000	CRD	40–60,000	UNC
people	NN0	people	SUBST
actually	AV0	actually	ADV
infected	VVN-AJ0	infect	VERB
)	PUR	)	PUR
.	PUN	.	PUN

# sentence 21, Texts/A/A0/A00.xml
there	EX0	there	PRON
are	VBB	be	VERB
nearly	AV0	nearly	ADV
5,000	CRD	5,000	ADJ
reported	AJ0-VVD	reported	ADJ
cases	NN2	case	SUBST
of	PRF	of	PREP
AIDS	NN1	aids	SUBST
,	PUN	,	PUN
of	PRF	of	PREP
which	DTQ	which	PRON
nearly	AV0	nearly	ADV
3,000	CRD	3,000	ADJ
have	VHB	have	VERB
already	AV0	already	ADV
died	VVN	die	VERB
.	PUN	.	PUN

# sentence 22, Texts/A/A0/A00.xml
1	CRD	1	ADJ
in	PRP	in	PREP
500	CRD	500	ADJ
Londoners	NN2	londoner	SUBST
are	VBB	be	VERB
believed	VVN	believe	VERB
to	TO0	to	PREP
be	VBI	be	VERB
infected	VVN	infect	VERB
.	PUN	.	PUN

# sentence 23, Texts/A/A0/A00.xml
The	AT0	the	ART
Future	NN1	future	SUBST

# sentence 24, Texts/A/A0/A00.xml
The	AT0	the	ART
World	NN1	world	SUBST
Health	NN1	health	SUBST
Organisation	NN1	organisation	SUBST
projects	NN2-VVZ	project	SUBST
40	CRD	40	ADJ
million	CRD	million	ADJ
infections	NN2	infection	SUBST
by	PRP	by	PREP
the	AT0	the	ART
year	NN1	year	SUBST
2000	CRD	2000	ADJ
.	PUN	.	PUN

# sentence 25, Texts/A/A0/A00.xml
‘	PUQ	‘	PUQ
We	PNP	we	PRON
are	VBB	be	VERB
just	AV0	just	ADV
at	PRP	at	PREP
the	AT0	the	ART
beginning	NN1	beginning	SUBST
of	PRF	of	PREP
the	AT0	the	ART
worldwide	AJ0	worldwide	ADJ
epidemic	NN1	epidemic	SUBST
and	CJC	and	CONJ
the	AT0	the	ART
situation	NN1	situation	SUBST
is	VBZ	be	VERB
still	AV0	still	ADV
very	AV0	very	ADV
unstable	AJ0	unstable	ADJ
.	PUN	.	PUN

# sentence 26, Texts/A/A0/A00.xml
The	AT0	the	ART
major	AJ0	major	ADJ
impact	NN1	impact	SUBST
is	VBZ	be	VERB
yet	AV0	yet	ADV
to	TO0	to	PREP
come	VVI	come	VERB
.	PUN	.	PUN
’	PUQ	’	PUQ

# sentence 27, Texts/A/A0/A00.xml
—	PUN	—	PUN
Professor	NP0	professor	SUBST
Jonathan	NP0	jonathan	SUBST
Mann	NP0	mann	SUBST
,	PUN	,	PUN
former	DT0	former	ADJ
director	NN1	director	SUBST
of	PRF	of	PREP
the	AT0	the	ART
WHO	NP0	who	SUBST
Global	AJ0	global	ADJ
AIDS	NN1	aids	SUBST
Programme	NN1	programme	SUBST
and	CJC	and	CONJ
ACET	NP0	acet	SUBST
's	POS	's	UNC
International	AJ0	international	ADJ
Adviser	NN1	adviser	SUBST
.	PUN	.	PUN

# sentence 28, Texts/A/A0/A00.xml
Useful	AJ0	useful	ADJ
Contacts	NN2	contact	SUBST
:	PUN	:	PUN

# sentence 29, Texts/A/A0/A00.xml
ACET	NP0	acet	SUBST
—	PUN	—	PUN
Practical	AJ0	practical	ADJ
home	NN1	home	SUBST
care	NN1-VVB	care	SUBST
,	PUN	,	PUN
schools	NN2	school	SUBST
education	NN1	education	SUBST
and	CJC	and	CONJ
training	NN1	training	SUBST
—	PUN	—	PUN
081	CRD	081	ADJ
840	CRD	840	ADJ
7879	CRD	7879	ADJ

# sentence 30, Texts/A/A0/A00.xml
Mildmay	NP0	mildmay	SUBST
Hospital	NN1	hospital	SUBST
,	PUN	,	PUN
Hackney	NP0	hackney	SUBST
Road	NP0	road	SUBST
,	PUN	,	PUN
London	NP0	london	SUBST
E2	UNC	e2	UNC
7NA	UNC	7na	UNC
—	PUN	—	PUN
Hospice	NN1	hospice	SUBST
care	NN1-VVB	care	SUBST
—	PUN	—	PUN
071	CRD	071	ADJ
739	CRD	739	ADJ
2331	CRD	2331	ADJ

# sentence 31, Texts/A/A0/A00.xml
Catholic	AJ0	catholic	ADJ
AIDS	NN1	aids	SUBST
Link	NN1-VVB	link	SUBST
—	PUN	—	PUN
Spiritual	AJ0	spiritual	ADJ
,	PUN	,	PUN
practical	AJ0	practical	ADJ
and	CJC	and	CONJ
financial	AJ0	financial	ADJ
support	NN1	support	SUBST
—	PUN	—	PUN
P	ZZ0	p	SUBST
O	ZZ0	o	SUBST
Box	NN1	box	SUBST
646	CRD	646	ADJ
,	PUN	,	PUN
London	NP0	london	SUBST
E9	UNC	e9	UNC
6QP	UNC	6qp	UNC

# sentence 32, Texts/A/A0/A00.xml
National	AJ0	national	ADJ
AIDS	NN1	aids	SUBST
Helpline	NN1	helpline	SUBST
—	PUN	—	PUN
Counselling	NN1	counselling	SUBST
and	CJC	and	CONJ
confidential	AJ0	confidential	ADJ
advice	NN1	advice	SUBST
—	PUN	—	PUN
0800	CRD	0800	ADJ
567	CRD	567	ADJ
123	CRD	123	ADJ

# sentence 33, Texts/A/A0/A00.xml
Bureau	NN1	bureau	SUBST
of	PRF	of	PREP
Hygiene	NN1	hygiene	SUBST
and	CJC	and	CONJ
Tropical	AJ0	tropical	ADJ
Medicine	NN1	medicine	SUBST
—	PUN	—	PUN
Overseas	AJ0	overseas	ADJ
development	NN1	development	SUBST
—	PUN	—	PUN
071	CRD	071	ADJ
636	CRD	636	ADJ
8638	CRD	8638	ADJ

# sentence 34, Texts/A/A0/A00.xml
Haemophilia	NN1-NP0	haemophilia	SUBST
Society	NN1	society	SUBST
—	PUN	—	PUN
Serving	VVG	serve	VERB
the	AT0	the	ART
interests	NN2	interest	SUBST
of	PRF	of	PREP
Haemophiliacs	NN2	haemophiliac	SUBST
—	PUN	—	PUN
071	CRD	071	ADJ
928	CRD	928	ADJ
2020	CRD	2020	ADJ

# sentence 35, Texts/A/A0/A00.xml
SCODA	NP0-NN1	scoda	SUBST
—	PUN	—	PUN
HIV	NP0	hiv	SUBST
and	CJC	and	CONJ
drugs	NN2	drug	SUBST
—	PUN	—	PUN
071	CRD	071	ADJ
430	CRD	430	ADJ
2341	CRD	2341	ADJ

# sentence 36, Texts/A/A0/A00.xml
Immunity	NN1	immunity	SUBST
—	PUN	—	PUN
HIV	NP0	hiv	SUBST
and	CJC	and	CONJ
legal	AJ0	legal	ADJ
issues	NN2	issue	SUBST
—	PUN	—	PUN
081	CRD	081	ADJ
968	CRD	968	ADJ
8909	CRD	8909	ADJ

# sentence 37, Texts/A/A0/A00.xml
FACTSHEET	NN1	factsheet	SUBST
PUT	VVD	put	VERB
THE	AT0	the	ART
FUN	AJ0-NN1	fun	ADJ
BACK	NN1	back	SUBST
IN	PRP	in	PREP
FUNDRAISING	NN1	fundraising	SUBST
!	PUN	!	PUN

# sentence 38, Texts/A/A0/A00.xml
Raising	VVG-NN1	raise	VERB
money	NN1	money	SUBST
for	PRP	for	PREP
your	DPS	you	PRON
favourite	AJ0-NN1	favourite	ADJ
charity	NN1	charity	SUBST
can	VM0	can	VERB
be	VBI	be	VERB
fun	AJ0	fun	ADJ
.	PUN	.	PUN

# sentence 39, Texts/A/A0/A00.xml
You	PNP	you	PRON
can	VM0	can	VERB
do	VDI	do	VERB
it	PNP	it	PRON
on	PRP-AVP	on	PREP
your	DPS	you	PRON
own	DT0	own	ADJ
or	CJC	or	CONJ
you	PNP	you	PRON
can	VM0	can	VERB
get	VVI	get	VERB
together	AV0	together	ADV
with	PRP	with	PREP
family	NN1	family	SUBST
and	CJC	and	CONJ
friends	NN2	friend	SUBST
.	PUN	.	PUN

# sentence 40, Texts/A/A0/A00.xml
There	EX0	there	PRON
is	VBZ	be	VERB
no	AT0	no	ART
limit	NN1	limit	SUBST
to	PRP	to	PREP
the	AT0	the	ART
number	NN1	number	SUBST
of	PRF	of	PREP
ways	NN2	way	SUBST
to	TO0	to	PREP
raise	VVI	raise	VERB
money	NN1	money	SUBST
.	PUN	.	PUN

# sentence 41, Texts/A/A0/A00.xml
Whether	CJS	whether	CONJ
the	AT0	the	ART
final	AJ0	final	ADJ
total	NN1	total	SUBST
is	VBZ	be	VERB
£5	NN0	£5	UNC
or	CJC	or	CONJ
£5,000	NN0	£5,000	UNC
,	PUN	,	PUN
it	PNP	it	PRON
is	VBZ	be	VERB
all	DT0	all	ADJ
very	AV0	very	ADV
much	AV0	much	ADV
needed	VVN-VVD	need	VERB
.	PUN	.	PUN

# sentence 42, Texts/A/A0/A00.xml
Below	AV0	below	ADV
I	PNP	i	PRON
've	VHB	have	VERB
listed	VVN	list	VERB
some	DT0	some	ADJ
ideas	NN2	idea	SUBST
which	DTQ	which	PRON
many	DT0	many	ADJ
people	NN0	people	SUBST
have	VHB	have	VERB
already	AV0	already	ADV
carried	VVN	carry	VERB
out	AVP	out	ADV
.	PUN	.	PUN

# sentence 43, Texts/A/A0/A00.xml
None	PNI	none	PRON
of	PRF	of	PREP
them	PNP	they	PRON
is	VBZ	be	VERB
new	AJ0	new	ADJ
and	CJC	and	CONJ
they	PNP	they	PRON
are	VBB	be	VERB
all	DT0	all	ADJ
straightforward	AJ0	straightforward	ADJ
.	PUN	.	PUN

# sentence 44, Texts/A/A0/A00.xml
1	CRD	1	ADJ
.	PUN	.	PUN

# sentence 45, Texts/A/A0/A00.xml
CAR	NN1	car	SUBST
BOOT	NN1-VVB	boot	SUBST
SALE	NN1	sale	SUBST

# sentence 46, Texts/A/A0/A00.xml
—	PUN	—	PUN
Why	AVQ	why	ADV
not	XX0	not	ADV
have	VHI	have	VERB
a	AT0	a	ART
clear	AJ0-AV0	clear	ADJ
out	AVP	out	ADV
?	PUN	?	PUN

# sentence 47, Texts/A/A0/A00.xml
I	PNP	i	PRON
did	VDD	do	VERB
and	CJC	and	CONJ
I	PNP	i	PRON
was	VBD	be	VERB
absolutely	AV0	absolutely	ADV
amazed	AJ0	amazed	ADJ
at	PRP	at	PREP
how	AVQ	how	ADV
much	DT0	much	ADJ
stuff	NN1	stuff	SUBST
I	PNP	i	PRON
sold	VVD	sell	VERB
and	CJC	and	CONJ
the	AT0	the	ART
kind	NN1	kind	SUBST
of	PRF	of	PREP
things	NN2	thing	SUBST
people	NN0	people	SUBST
bought	VVD-VVN	buy	VERB
.	PUN	.	PUN

# sentence 48, Texts/A/A0/A00.xml
It	PNP	it	PRON
can	VM0	can	VERB
be	VBI	be	VERB
fun	AJ0	fun	ADJ
as	CJS	as	CONJ
well	AV0	well	ADV
.	PUN	.	PUN

# sentence 49, Texts/A/A0/A00.xml
2	CRD	2	ADJ
.	PUN	.	PUN

# sentence 50, Texts/A/A0/A00.xml
JUMBLE	VVB-NN1	jumble	VERB
SALE	NN1	sale	SUBST

# sentence 51, Texts/A/A0/A00.xml
—	PUN	—	PUN
A	AT0	a	ART
bit	NN1	bit	SUBST
like	PRP	like	PREP
a	AT0	a	ART
car	NN1	car	SUBST
boot	NN1-VVB	boot	SUBST
sale	NN1	sale	SUBST
but	CJC	but	CONJ
for	PRP	for	PREP
clothes	NN2	clothes	SUBST
and	CJC	and	CONJ
it	PNP	it	PRON
happens	VVZ	happen	VERB
indoors	AV0	indoors	ADV
.	PUN	.	PUN

# sentence 52, Texts/A/A0/A00.xml
You	PNP	you	PRON
need	VVB	need	VERB
to	TO0	to	PREP
involve	VVI	involve	VERB
your	DPS	you	PRON
friends	NN2	friend	SUBST
collecting	VVG	collect	VERB
jumble	NN1	jumble	SUBST
.	PUN	.	PUN

# sentence 53, Texts/A/A0/A00.xml
Do	VDB	do	VERB
n't	XX0	not	ADV
plan	VVI	plan	VERB
on	PRP-AVP	on	PREP
selling	VVG	sell	VERB
too	AV0	too	ADV
much	DT0	much	ADJ
at	PRP	at	PREP
more	AV0	more	ADV
than	CJS	than	CONJ
10p	NN0	10p	SUBST
an	AT0	an	ART
item	NN1	item	SUBST
.	PUN	.	PUN

# sentence 54, Texts/A/A0/A00.xml
3	CRD	3	ADJ
.	PUN	.	PUN

# sentence 55, Texts/A/A0/A00.xml
SPONSORED	AJ0	sponsored	ADJ
RUN	NN1	run	SUBST

# sentence 56, Texts/A/A0/A00.xml
—	PUN	—	PUN
For	PRP	for	PREP
the	AT0	the	ART
keen	AJ0	keen	ADJ
fun	AJ0-NN1	fun	ADJ
runner	NN1	runner	SUBST
,	PUN	,	PUN
why	AVQ	why	ADV
not	XX0	not	ADV
get	VVI	get	VERB
your	DPS	you	PRON
next	ORD	next	ADJ
full	AJ0	full	ADJ
or	CJC	or	CONJ
half	DT0	half	ADJ
marathon	NN1	marathon	SUBST
sponsored	VVD-VVN	sponsor	VERB
.	PUN	.	PUN

# sentence 57, Texts/A/A0/A00.xml
4	CRD	4	ADJ
.	PUN	.	PUN

# sentence 58, Texts/A/A0/A00.xml
HAVE	VHB	have	VERB
A	AT0	a	ART
DISCO	NN1	disco	SUBST

# sentence 59, Texts/A/A0/A00.xml
—	PUN	—	PUN
At	PRP	at	PREP
your	DPS	you	PRON
local	AJ0	local	ADJ
club	NN1	club	SUBST
or	CJC	or	CONJ
church	NN1	church	SUBST
why	AVQ	why	ADV
not	XX0	not	ADV
put	VVN	put	VERB
on	PRP	on	PREP
an	AT0	an	ART
evening	NN1	evening	SUBST
for	PRP	for	PREP
young	AJ0	young	ADJ
people	NN0	people	SUBST
?	PUN	?	PUN

# sentence 60, Texts/A/A0/A00.xml
It	PNP	it	PRON
's	VBZ	be	VERB
hard	AJ0	hard	ADJ
work	NN1	work	SUBST
but	CJC	but	CONJ
very	AV0	very	ADV
rewarding	AJ0	rewarding	ADJ
.	PUN	.	PUN

# sentence 61, Texts/A/A0/A00.xml
5	CRD	5	ADJ
.	PUN	.	PUN

# sentence 62, Texts/A/A0/A00.xml
A	AT0	a	ART
PARACHUTE	NN1	parachute	SUBST
JUMP	NN1	jump	SUBST

# sentence 63, Texts/A/A0/A00.xml
—	PUN	—	PUN
Not	XX0	not	ADV
for	PRP	for	PREP
the	AT0	the	ART
faint-hearted	AJ0	faint-hearted	ADJ
.	PUN	.	PUN

# sentence 64, Texts/A/A0/A00.xml
But	CJC	but	CONJ
why	AVQ	why	ADV
not	XX0	not	ADV
pluck	VVI	pluck	VERB
up	AVP	up	ADV
the	AT0	the	ART
courage	NN1	courage	SUBST
to	TO0	to	PREP
do	VDI	do	VERB
what	DTQ	what	PRON
you	PNP	you	PRON
've	VHB	have	VERB
always	AV0	always	ADV
wanted	VVN	want	VERB
?	PUN	?	PUN

# sentence 65, Texts/A/A0/A00.xml
It	PNP	it	PRON
's	VBZ	be	VERB
all	DT0	all	ADJ
in	PRP	in	PREP
a	AT0	a	ART
good	AJ0	good	ADJ
cause	NN1	cause	SUBST
.	PUN	.	PUN

# sentence 66, Texts/A/A0/A00.xml
6	CRD	6	ADJ
.	PUN	.	PUN

# sentence 67, Texts/A/A0/A00.xml
SPONSORED	AJ0	sponsored	ADJ
SLIM	AJ0	slim	ADJ

# sentence 68, Texts/A/A0/A00.xml
7	CRD	7	ADJ
.	PUN	.	PUN

# sentence 69, Texts/A/A0/A00.xml
HOLD	VVB	hold	VERB
A	AT0	a	ART
COFFEE	NN1	coffee	SUBST
MORNING	NN1	morning	SUBST
or	CJC	or	CONJ
BAKE	VVB	bake	VERB
CAKES	NN2	cake	SUBST

# sentence 70, Texts/A/A0/A00.xml
to	TO0	to	PREP
sell	VVI	sell	VERB
to	TO0	to	PREP
work	VVI	work	VERB
colleagues	NN2	colleague	SUBST
.	PUN	.	PUN

# sentence 71, Texts/A/A0/A00.xml
8	CRD	8	ADJ
.	PUN	.	PUN

# sentence 72, Texts/A/A0/A00.xml
KIDDIES	NP0	kiddies	SUBST
'	POS	'	UNC
SPONSORED	AJ0	sponsored	ADJ
SWIM	NN1	swim	SUBST

# sentence 73, Texts/A/A0/A00.xml
9	CRD	9	ADJ
.	PUN	.	PUN

# sentence 74, Texts/A/A0/A00.xml
Organise	VVB	organise	VERB
a	AT0	a	ART
SPONSORED	AJ0	sponsored	ADJ
WALK	NN1	walk	SUBST
OR	CJC	or	CONJ
RAMBLE	NN1-VVB	ramble	SUBST

# sentence 75, Texts/A/A0/A00.xml
for	PRP	for	PREP
your	DPS	you	PRON
church	NN1	church	SUBST
or	CJC	or	CONJ
youth	NN1	youth	SUBST
club	NN1	club	SUBST
.	PUN	.	PUN

# sentence 76, Texts/A/A0/A00.xml
10	CRD	10	ADJ
.	PUN	.	PUN

# sentence 77, Texts/A/A0/A00.xml
SPONSORED	AJ0	sponsored	ADJ
DISCO	NN1	disco	SUBST
MARATHON	NN1-NP0	marathon	SUBST
or	CJC	or	CONJ
FOOTBALL	NN1	football	SUBST
5-A-SIDE	NN1	5-a-side	SUBST
.	PUN	.	PUN

# sentence 78, Texts/A/A0/A00.xml
If	CJS	if	CONJ
I	PNP	i	PRON
can	VM0	can	VERB
help	VVI	help	VERB
further	AV0	further/far	ADV
please	AV0	please	ADV
do	VDI	do	VERB
not	XX0	not	ADV
hesitate	VVI	hesitate	VERB
to	TO0	to	PREP
contact	VVI	contact	VERB
me	PNP	i	PRON
on	PRP	on	PREP
081	CRD	081	ADJ
840	CRD	840	ADJ
7879	CRD	7879	ADJ
Peter	NP0	peter	SUBST
Fabian	NP0	fabian	SUBST
Director	NN1	director	SUBST
of	PRF	of	PREP
Fundraising	NN1	fundraising	SUBST

# sentence 79, Texts/A/A0/A00.xml
FACTSHEET	NN1	factsheet	SUBST
BECOMING	VVG	become	VERB
AN	AT0	an	ART
ACET	NP0	acet	SUBST
HOME	NN1	home	SUBST
CARE	NN1-VVB	care	SUBST
VOLUNTEER	NN1-VVB	volunteer	SUBST

# sentence 80, Texts/A/A0/A00.xml
About	PRP	about	PREP
ACET	NP0	acet	SUBST
's	POS	's	UNC
Home	NN1	home	SUBST
Care	NN1-VVB	care	SUBST

# sentence 81, Texts/A/A0/A00.xml
Many	DT0	many	ADJ
people	NN0	people	SUBST
with	PRP	with	PREP
AIDS	NN2	aid	SUBST
have	VHB	have	VERB
to	TO0	to	PREP
spend	VVI	spend	VERB
long	AJ0	long	ADJ
periods	NN2	period	SUBST
of	PRF	of	PREP
time	NN1	time	SUBST
in	PRP	in	PREP
hospital	NN1	hospital	SUBST
unless	CJS	unless	CONJ
there	EX0	there	PRON
is	VBZ	be	VERB
someone	PNI	someone	PRON
at	PRP	at	PREP
home	NN1	home	SUBST
who	PNQ	who	PRON
can	VM0	can	VERB
help	VVI	help	VERB
and	CJC	and	CONJ
look	VVI	look	VERB
after	PRP	after	PREP
them	PNP	they	PRON
.	PUN	.	PUN

# sentence 82, Texts/A/A0/A00.xml
ACET	NP0	acet	SUBST
volunteers	NN2	volunteer	SUBST
work	VVB	work	VERB
as	PRP	as	PREP
part	NN1	part	SUBST
of	PRF	of	PREP
a	AT0	a	ART
team	NN1	team	SUBST
and	CJC	and	CONJ
provide	VVB	provide	VERB
help	NN1-VVB	help	SUBST
in	PRP	in	PREP
many	DT0	many	ADJ
different	AJ0	different	ADJ
ways	NN2	way	SUBST
to	TO0	to	PREP
ensure	VVI	ensure	VERB
that	CJT	that	CONJ
people	NN0	people	SUBST
do	VDB	do	VERB
n't	XX0	not	ADV
spend	VVI	spend	VERB
time	NN1	time	SUBST
in	PRP	in	PREP
hospital	NN1	hospital	SUBST
unnecessarily	AV0	unnecessarily	ADV
.	PUN	.	PUN

# sentence 83, Texts/A/A0/A00.xml
What	DTQ	what	PRON
do	VDB	do	VERB
ACET	NP0	acet	SUBST
volunteers	NN2	volunteer	SUBST
do	VDB	do	VERB
?	PUN	?	PUN

# sentence 84, Texts/A/A0/A00.xml
Transport	NN1-VVB	transport	SUBST
clients	NN2	client	SUBST
to	PRP	to	PREP
and	CJC	and	CONJ
from	PRP	from	PREP
hospital	NN1	hospital	SUBST

# sentence 85, Texts/A/A0/A00.xml
Housework	NN1	housework	SUBST

# sentence 86, Texts/A/A0/A00.xml
Shopping	VVG-NN1	shop	VERB
including	PRP	including	PREP
collection	NN1	collection	SUBST
of	PRF	of	PREP
prescriptions	NN2	prescription	SUBST

# sentence 87, Texts/A/A0/A00.xml
Daysitting	VVG	daysit	VERB
and	CJC	and	CONJ
nightsitting	VVG-NN1	nightsit	VERB

# sentence 88, Texts/A/A0/A00.xml
How	AVQ	how	ADV
much	DT0	much	ADJ
time	NN1	time	SUBST
to	PRP	to	PREP
I	PNP	i	PRON
need	VVB-NN1	need	VERB
to	TO0	to	PREP
give	VVI	give	VERB
?	PUN	?	PUN

# sentence 89, Texts/A/A0/A00.xml
The	AT0	the	ART
simple	AJ0	simple	ADJ
answer	NN1	answer	SUBST
is	VBZ	be	VERB
as	AV0	as	ADV
much	DT0	much	ADJ
or	CJC	or	CONJ
as	CJS	as	CONJ
little	DT0	little	ADJ
as	CJS	as	CONJ
you	PNP	you	PRON
feel	VVB	feel	VERB
able	AJ0	able	ADJ
to	TO0	to	PREP
give	VVI	give	VERB
.	PUN	.	PUN

# sentence 90, Texts/A/A0/A00.xml
Many	DT0	many	ADJ
of	PRF	of	PREP
our	DPS	we	PRON
